"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 19, 2021","5,007.09","5,068.53","5,089.92","4,980.76","164.18K","-2.62%"
"Mar 18, 2021","5,141.77","5,114.59","5,160.46","5,111.13","142.90K","0.80%"
"Mar 17, 2021","5,100.86","5,062.77","5,123.55","5,020.13","149.16K","0.42%"
"Mar 16, 2021","5,079.36","5,054.41","5,084.31","5,009.95","161.39K","0.87%"
"Mar 15, 2021","5,035.54","5,116.12","5,120.88","4,992.40","204.15K","-2.15%"
"Mar 12, 2021","5,146.38","5,153.67","5,153.67","5,086.82","201.02K","0.35%"
"Mar 11, 2021","5,128.22","5,024.56","5,138.41","5,020.58","189.60K","2.49%"
"Mar 10, 2021","5,003.61","5,047.06","5,055.28","4,981.62","169.93K","0.66%"
"Mar 09, 2021","4,971.00","5,066.15","5,094.31","4,917.91","230.71K","-2.15%"
"Mar 08, 2021","5,080.02","5,299.79","5,326.26","5,079.80","230.23K","-3.47%"
"Mar 05, 2021","5,262.80","5,191.97","5,307.82","5,174.25","202.63K","-0.34%"
"Mar 04, 2021","5,280.71","5,388.48","5,392.37","5,254.78","212.78K","-3.15%"
"Mar 03, 2021","5,452.21","5,327.35","5,452.40","5,316.48","194.71K","1.92%"
"Mar 02, 2021","5,349.63","5,453.28","5,454.97","5,305.05","196.51K","-1.28%"
"Mar 01, 2021","5,418.78","5,389.25","5,421.56","5,345.94","177.46K","1.54%"
"Feb 26, 2021","5,336.76","5,343.90","5,416.32","5,318.86","212.27K","-2.43%"
"Feb 25, 2021","5,469.56","5,494.47","5,527.63","5,444.16","230.74K","0.59%"
"Feb 24, 2021","5,437.57","5,591.48","5,598.83","5,379.73","225.43K","-2.55%"
"Feb 23, 2021","5,579.67","5,542.68","5,644.75","5,541.11","233.81K","-0.32%"
"Feb 22, 2021","5,597.33","5,785.51","5,785.51","5,597.33","282.12K","-3.14%"